"GroupId","OpenDate","WorkingTimes"
default,"19000101","[{""Begin"": ""09:00:00"", ""End"": ""10:15:00"", ""IsOpen"": true}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
TF,"20100416","[{""Begin"": ""09:15:00"", ""End"": ""11:30:00"", ""IsOpen"": true}, {""Begin"": ""13:00:00"", ""End"": ""15:15:00"", ""IsClose"": true}]"
T,"20100416","[{""Begin"": ""09:15:00"", ""End"": ""11:30:00"", ""IsOpen"": true}, {""Begin"": ""13:00:00"", ""End"": ""15:15:00"", ""IsClose"": true}]"
IF,"20100416","[{""Begin"": ""09:15:00"", ""End"": ""11:30:00"", ""IsOpen"": true}, {""Begin"": ""13:00:00"", ""End"": ""15:15:00"", ""IsClose"": true}]"
IF,"20160101","[{""Begin"": ""09:30:00"", ""End"": ""11:30:00"", ""IsOpen"": true}, {""Begin"": ""13:00:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
IH,"20100416","[{""Begin"": ""09:15:00"", ""End"": ""11:30:00"", ""IsOpen"": true}, {""Begin"": ""13:00:00"", ""End"": ""15:15:00"", ""IsClose"": true}]"
IH,"20160101","[{""Begin"": ""09:30:00"", ""End"": ""11:30:00"", ""IsOpen"": true}, {""Begin"": ""13:00:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
IC,"20100416","[{""Begin"": ""09:15:00"", ""End"": ""11:30:00"", ""IsOpen"": true}, {""Begin"": ""13:00:00"", ""End"": ""15:15:00"", ""IsClose"": true}]"
IC,"20160101","[{""Begin"": ""09:30:00"", ""End"": ""11:30:00"", ""IsOpen"": true}, {""Begin"": ""13:00:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
ag,"20130705","[{""Begin"": ""21:00:00"", ""End"": ""02:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
au,"20130705","[{""Begin"": ""21:00:00"", ""End"": ""02:30:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
cu,"20131220","[{""Begin"": ""21:00:00"", ""End"": ""01:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
al,"20131220","[{""Begin"": ""21:00:00"", ""End"": ""01:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
pb,"20131220","[{""Begin"": ""21:00:00"", ""End"": ""01:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
zn,"20131220","[{""Begin"": ""21:00:00"", ""End"": ""01:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
bu,"20141226","[{""Begin"": ""21:00:00"", ""End"": ""01:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
